,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
Brook Ave & E 157 St,,,,,,,4.0,329.0,225.0,228.0,170.0,77.0
E 156 & Brook Ave,,,,,,,3.0,233.0,352.0,297.0,230.0,224.0
Prospect Ave & Longwood Ave,,,,,,,1.0,490.0,446.0,187.0,137.0,59.0
W 78 St & Amsterdam Ave,,,,,,,,3200.0,4568.0,4060.0,3455.0,2219.0
Central Park W & W 97 St,,,,,,,,2588.0,5915.0,4728.0,3893.0,1951.0
W 48 St & Rockefeller Plaza,,,,,,,,1509.0,1914.0,1928.0,1499.0,1307.0
Madison Ave & E 26 St,,,,,,,,1444.0,3156.0,3289.0,2469.0,1539.0
Central Park W & W 91 St,,,,,,,,1334.0,3819.0,3747.0,3055.0,1510.0
W 51 St & Rockefeller Plaza,,,,,,,,1291.0,1827.0,2062.0,1619.0,1373.0
Central Park W & W 103 St,,,,,,,,1073.0,2851.0,2389.0,1845.0,1007.0
Fort Washington Ave & W 183 St,,,,,,,,990.0,1599.0,1090.0,676.0,380.0
Fort Washington Ave & W 173 St,,,,,,,,950.0,704.0,605.0,392.0,224.0
Broadway & W 160 St,,,,,,,,783.0,1251.0,847.0,613.0,351.0
W 165 St & Fort Washington Ave,,,,,,,,644.0,805.0,685.0,475.0,281.0
W 180 St & Ft Washington Ave,,,,,,,,542.0,1209.0,631.0,429.0,253.0
Amsterdam Ave & W 162 St,,,,,,,,504.0,513.0,343.0,279.0,172.0
Broadway & W 165 St,,,,,,,,468.0,703.0,590.0,506.0,340.0
Wadsworth Ave & W 179 St,,,,,,,,455.0,782.0,514.0,383.0,199.0
Avenue D & E 10 St,,,,,,,,424.0,2376.0,2481.0,1042.0,1029.0
St. Nicholas Ave & W 157 St,,,,,,,,401.0,348.0,304.0,218.0,134.0
W 160 St & St. Nicholas Ave,,,,,,,,383.0,434.0,426.0,398.0,204.0
Amsterdam Ave & W 172 St,,,,,,,,356.0,380.0,301.0,158.0,126.0
W 163 St & Riverside Dr,,,,,,,,355.0,343.0,241.0,186.0,93.0
Cabrini Blvd & W 177 St,,,,,,,,353.0,480.0,388.0,291.0,156.0
W 155 St & Frederick Douglass Blvd,,,,,,,,328.0,424.0,398.0,368.0,151.0
St. Nicholas Ave & W 155 St,,,,,,,,230.0,472.0,480.0,375.0,174.0
Wadsworth Ave & W 175 St,,,,,,,,225.0,325.0,336.0,221.0,133.0
Amsterdam Ave & W 156 St,,,,,,,,222.0,402.0,250.0,201.0,146.0
Grant Ave & E 164 St,,,,,,,,214.0,518.0,500.0,338.0,182.0
E 150 St & Gerard Ave,,,,,,,,207.0,623.0,510.0,253.0,146.0
Convent Ave & W 151 St,,,,,,,,200.0,175.0,177.0,160.0,111.0
Amsterdam Ave & W 180 St,,,,,,,,192.0,266.0,236.0,128.0,56.0
Edgecombe Ave & W 167 St,,,,,,,,173.0,363.0,185.0,143.0,79.0
Amsterdam Ave & W 167 St,,,,,,,,172.0,355.0,377.0,268.0,200.0
Frederick Douglass Blvd & Harlem River Dr,,,,,,,,170.0,342.0,212.0,159.0,84.0
Westchester Ave & E 156 St,,,,,,,,161.0,180.0,126.0,99.0,56.0
Grand Concourse & E 167 St,,,,,,,,160.0,544.0,495.0,273.0,145.0
E 169 St & Webster Ave,,,,,,,,151.0,565.0,287.0,405.0,86.0
Amsterdam Ave & W 183 St,,,,,,,,146.0,555.0,508.0,300.0,159.0
Gerard Ave & McClellan St,,,,,,,,145.0,215.0,175.0,84.0,48.0
E 160 St & Tinton Ave,,,,,,,,145.0,169.0,103.0,91.0,34.0
Gerard Ave & E 164 St,,,,,,,,137.0,236.0,152.0,103.0,41.0
Amsterdam Ave & W 175 St,,,,,,,,137.0,305.0,241.0,161.0,69.0
Gerard Ave & E 165 St,,,,,,,,120.0,208.0,164.0,107.0,72.0
W 171 St & St. Nicholas Ave,,,,,,,,114.0,356.0,469.0,340.0,264.0
Audobon Ave & W 179 St,,,,,,,,109.0,233.0,207.0,141.0,102.0
Ogden Ave & W 164 St,,,,,,,,103.0,227.0,248.0,168.0,124.0
Cauldwell Ave & E 158 St,,,,,,,,84.0,73.0,83.0,75.0,28.0
Old Broadway & W 133 St,,,,,,,,82.0,102.0,105.0,116.0,64.0
Grand Concourse & E 171 St,,,,,,,,75.0,693.0,367.0,250.0,146.0
Ogden Ave & W 165 St,,,,,,,,71.0,312.0,323.0,178.0,67.0
W 163 St & Edgecombe Ave,,,,,,,,69.0,103.0,109.0,83.0,29.0
