,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
E 43 St & 5 Ave,2986.0,2545.0,1766.0,358.0,782.0,1278.0,2089.0,1950.0,2415.0,2175.0,1747.0,1523.0
Centre St & Chambers St,2981.0,2626.0,2516.0,2177.0,5730.0,5243.0,1920.0,4146.0,4673.0,3968.0,3270.0,2052.0
Mott St & Prince St,2971.0,2688.0,2438.0,1849.0,3537.0,4928.0,6013.0,6998.0,7143.0,6250.0,4621.0,3095.0
LaGuardia Pl & W 3 St,2971.0,3741.0,2620.0,1594.0,,2374.0,4075.0,5075.0,6043.0,4949.0,3865.0,2303.0
W Broadway & Spring St,2963.0,2554.0,1912.0,1098.0,,1887.0,3857.0,3803.0,4311.0,3786.0,2722.0,1820.0
1 Ave & E 30 St,2949.0,2590.0,2365.0,1877.0,3395.0,4110.0,3891.0,4133.0,4840.0,4149.0,3811.0,3010.0
E 16 St & Irving Pl,2938.0,2411.0,1831.0,723.0,1406.0,1819.0,2228.0,2349.0,2782.0,2551.0,1917.0,1273.0
Broadway & W 38 St,2934.0,2633.0,1943.0,962.0,1622.0,2079.0,2952.0,2504.0,3282.0,3162.0,2934.0,1921.0
9 Ave & W 28 St,2929.0,2761.0,2537.0,1580.0,2814.0,3724.0,4188.0,4538.0,4944.0,4577.0,3705.0,2431.0
W 16 St & The High Line,2927.0,2779.0,2301.0,871.0,1891.0,2462.0,2915.0,3099.0,3308.0,3881.0,2916.0,1880.0
W 44 St & 5 Ave,2912.0,2649.0,1914.0,525.0,1178.0,2003.0,2559.0,2821.0,3149.0,2749.0,2255.0,1759.0
E 30 St & Park Ave S,2909.0,2659.0,2115.0,874.0,2546.0,2662.0,3077.0,3119.0,3518.0,3344.0,2528.0,1336.0
N 6 St & Bedford Ave,2902.0,2685.0,1913.0,865.0,1941.0,2766.0,3807.0,4100.0,4267.0,3907.0,3244.0,1909.0
Stanton St & Chrystie St,2895.0,2851.0,2245.0,1373.0,2749.0,3068.0,4092.0,4706.0,4832.0,4098.0,3394.0,2140.0
W 11 St & 6 Ave,2887.0,2868.0,2246.0,1214.0,2402.0,3382.0,3724.0,3007.0,3586.0,3530.0,2865.0,1662.0
Fulton St & Broadway,2874.0,2515.0,2082.0,954.0,2060.0,2946.0,3696.0,4109.0,6258.0,5362.0,3834.0,2187.0
W 37 St & 10 Ave,2848.0,2627.0,2605.0,1995.0,3818.0,4422.0,5343.0,5851.0,5853.0,5151.0,3935.0,2571.0
Sullivan St & Washington Sq,2834.0,2095.0,2148.0,1161.0,3990.0,5253.0,4218.0,4915.0,5191.0,4479.0,3284.0,1697.0
E 58 St & 3 Ave,2826.0,2443.0,2304.0,1445.0,3285.0,4400.0,5446.0,5666.0,5893.0,5242.0,4461.0,3122.0
Forsyth St & Canal St,2819.0,2525.0,2441.0,1525.0,3945.0,4800.0,4843.0,5422.0,5893.0,4888.0,3781.0,2595.0
Hanson Pl & Ashland Pl,2808.0,2443.0,1857.0,701.0,1605.0,2382.0,2774.0,2806.0,3420.0,3280.0,2903.0,2041.0
E 55 St & 2 Ave,2801.0,2682.0,2467.0,1534.0,3296.0,3688.0,3886.0,3920.0,5009.0,4895.0,3913.0,2558.0
Mercer St & Spring St,2789.0,2486.0,1707.0,643.0,1658.0,2445.0,3973.0,4871.0,5613.0,5114.0,3511.0,2367.0
Murray St & Greenwich St,2780.0,2580.0,2574.0,1877.0,3260.0,4078.0,4370.0,4760.0,4630.0,4173.0,2948.0,2322.0
E 11 St & Avenue B,2780.0,2544.0,2107.0,1111.0,2405.0,2965.0,4096.0,4710.0,5325.0,805.0,3089.0,2308.0
9 Ave & W 18 St,2761.0,2602.0,1963.0,893.0,1925.0,2631.0,3081.0,3842.0,4256.0,3675.0,2783.0,1790.0
Broadway & W 51 St,2739.0,2255.0,1890.0,710.0,1334.0,1616.0,2207.0,2500.0,3239.0,2922.0,2217.0,1573.0
E 9 St & Avenue C,2727.0,2530.0,2094.0,1096.0,2140.0,2765.0,3499.0,4082.0,4022.0,2399.0,,1309.0
Central Park West & W 72 St,2726.0,2663.0,3057.0,2486.0,6385.0,6889.0,6569.0,7217.0,7857.0,6911.0,5812.0,3358.0
Howard St & Centre St,2723.0,2518.0,1894.0,768.0,1651.0,2497.0,3034.0,3694.0,4147.0,3635.0,2796.0,1905.0
Greenwich St & W Houston St,2719.0,2512.0,2502.0,1134.0,2344.0,3185.0,3936.0,4697.0,5307.0,5160.0,3991.0,2220.0
W 63 St & Broadway,2718.0,2491.0,1972.0,1194.0,2418.0,3098.0,3757.0,4043.0,4661.0,4634.0,3847.0,2435.0
Lexington Ave & E 29 St,2714.0,2656.0,2394.0,1364.0,,2278.0,3996.0,4119.0,4305.0,3996.0,3302.0,2157.0
7 Ave & Central Park South,2704.0,2621.0,2763.0,1998.0,5030.0,5212.0,4391.0,5094.0,6605.0,6021.0,4711.0,2537.0
E 27 St & 1 Ave,2697.0,2389.0,2446.0,2362.0,3872.0,4462.0,5166.0,6070.0,7066.0,6175.0,5247.0,4206.0
W 52 St & 5 Ave,2689.0,2324.0,1757.0,425.0,860.0,1633.0,,,,,,
W 52 St & 11 Ave,2682.0,2326.0,3055.0,1941.0,4335.0,5471.0,4675.0,1941.0,115.0,3789.0,2989.0,1213.0
University Pl & E 8 St,2677.0,3492.0,2678.0,1444.0,3120.0,4786.0,4535.0,4443.0,5741.0,5339.0,5317.0,2967.0
E 19 St & 3 Ave,2662.0,2573.0,2137.0,1110.0,2169.0,3499.0,3945.0,5350.0,7053.0,5334.0,3566.0,2305.0
